coenti;damesano;plajustado;margem;pl;AjustesContabeis;AjustesEconomicos;NovoPla;CMR
10405;200311;0;0;0;0;0;0;0
10677;200311;0;0;0;0;0;0;0
10961;200311;0;0;0;0;0;0;0
11029;200311;0;0;0;0;0;0;0
26026;200311;208053064,84;0;238744733,62;-30691668,78;0;0;0
04634;200312;1434952,83;0;1434952,83;0;0;0;0
05282;200312;29955057,63;0;50063604,17;-20108546,54;0;0;0
04359;200304;8356846,31;0;8503616,61;-146770,3;0;0;0
05045;200304;35768451,44;0;69451486,47;-33683035,03;0;0;0
05789;200304;4281455,26;0;4281455,26;0;0;0;0
06157;200304;8672629,84;0;8672629,84;0;0;0;0
06432;200304;10247331;0;10460275;-212944;0;0;0
06769;200304;15193077,87;0;13553515,84;1639562,03;0;0;0
10669;200304;0;0;0;0;0;0;0
10961;200304;0;0;0;0;0;0;0
11029;200304;0;0;0;0;0;0;0
22110;200304;8191343,26;0;8197210,53;-5867,27000000048;0;0;0
26026;200304;180959707,27;0;204549529,64;-23589822,37;0;0;0
04740;200305;18650292,69;0;19210104,77;-559812,079999998;0;0;0
05193;200305;16752575,18;0;24186638,77;-7434063,59;0;0;0
05215;200305;161987042,43;0;667198805,89;-505211763,46;0;0;0
05436;200305;19669966;0;19785457;-115491;0;0;0
05444;200305;396311904;0;2855560075;-2459248171;0;0;0
05878;200305;6597766,45;0;6983475,42;-385708,97;0;0;0
05983;200305;985602768,97;0;1311775612,34;-326172843,37;0;0;0
06173;200305;8741731,86;0;8870287,27;-128555,41;0;0;0
06271;200305;19018318,97;0;19044947,35;-26628,3800000027;0;0;0
06807;200305;1707968,74;0;1709694,01;-1725,27000000002;0;0;0
06971;200305;6007341,98;0;46945640,02;-40938298,04;0;0;0
10596;200305;0;0;0;0;0;0;0
11029;200305;0;0;0;0;0;0;0
11088;200305;0;0;0;0;0;0;0
21946;200305;55996789,35;0;192843417,61;-136846628,26;0;0;0
26026;200305;183331194,55;0;205046621,63;-21715427,08;0;0;0
05011;200306;64906152,61;0;68715315,04;-3809162,43000001;0;0;0
05193;200306;20846726,71;0;28352373,95;-7505647,24;0;0;0
05878;200306;6716666,66;0;7239710,4;-523043,74;0;0;0
06068;200306;15561428,15;0;23978342,14;-8416913,99;0;0;0
06271;200306;18607667,69;0;18607667,69;0;0;0;0
06335;200306;10881401,75;0;11914910,55;-1033508,8;0;0;0
06467;200306;23499680,5;0;29822725,64;-6323045,14;0;0;0
06530;200306;9792937,74;0;9860068,21;-67130,4700000007;0;0;0
06793;200306;6009270,41;0;6071653,37;-62382,96;0;0;0
